file_name,genre,year,artist,title,album,length,bpm,folder
George Thorogood & The Destroyers - Move It On Over (Live),Classic Rock,1995,George Thorogood & The Destroyers,Move It On Over (Live),Live: Let's Work Together,5:06,87,D - J
George Thorogood and The Destroyers - Who Do You Love,Classic Rock,1978,George Thorogood and The Destroyers,Who Do You Love?,Move It On Over,4:22,106,D - J
Geronimo Jackson - Dharma Lady,Classic Rock,2010,Geronimo Jackson,Dharma Lady,LOST,3:06,83,D - J
Ghost - Cirice,Metal,2015,Ghost,Cirice,Meliora,5:57,90,D - J
Ghost - Rats,Metal,2018,Ghost,Rats,Prequelle,4:25,124,D - J
Ghost Brigade - Clawmaster,Metal,2011,Ghost Brigade,Clawmaster,Until Fear No Longer Defines Us,6:44,107,D - J
Ghost Brigade - Into the Black Light,Metal,2009,Ghost Brigade,Into the Black Light,Isolation Songs,5:36,148,D - J
Ghost Hounds - Ashes to Fire,Rock,2008,Ghost Hounds,Ashes To Fire,Ghost Hounds,2:52,136,D - J
Ghost Hounds - Wind Me Up,Rock,2008,Ghost Hounds,Wind Me Up,Ghost Hounds,3:37,106,D - J
GHWT Medley,Other,2009,Various,GHWT Medley,Guitar Hero 5,4:55,119,D - J
Giant Target - In Memories,Punk,2009,Giant Target,In Memories,,3:46,153,D - J
Giant Target - Signs,Punk,2009,Giant Target,Signs,,2:10,99,D - J
Gigakoops - Death In General,Pop/Dance/Electronic,2011,Gigakoops,Death In General,Gigakoops,2:56,100,D - J
Gigakoops - Night,Pop/Dance/Electronic,2011,Gigakoops,Night,Gigakoops,3:54,159,D - J
Gin Blossoms - Found Out About You,Alternative,1993,Gin Blossoms,Found Out About You,New Miserable Experience,3:57,134,D - J
Gin Blossoms - Hey Jealousy,Alternative,1993,Gin Blossoms,Hey Jealousy,New Miserable Experience,4:01,76,D - J
Giraffes Giraffes! - I am S H(im)e[r] as You am S H(im)e[r] as You are Me and We am I and I are All Our Together,Alternative,2007,Giraffes? Giraffes!,I am S/H(im)e[r] as You am S/H(im)e[r] as You are Me and We am I and I are All Our Together,More Skin with Milk-Mouth,9:39,133,D - J
"Giraffes, Giraffes! - Werewolf Grandma With Knives (Part Two - Don't Die)",Indie Rock,2011,Giraffes? Giraffes!,Werewolf Grandma With Knives (Part Two - Don't Die),Pink Magick,3:52,79,D - J
Gladhander - Bad Things,Grunge,2009,Gladhander,Bad Things,One Against Three,2:45,83,D - J
GLaDOS - Still Alive,Pop Rock,2007,GLaDOS,Still Alive,Portal,3:01,120,D - J
Glass Animals - Heat Waves,Alternative,2020,Glass Animals,Heat Waves,Dreamland,4:04,161,D - J
Glass Hammer - Hyperbole,Progressive Rock,2009,Glass Hammer,Hyperbole,Three Cheers for the Broken Hearted,8:01,79,D - J
Glass Hammer - Sleep On,Progressive Rock,2009,Glass Hammer,Sleep On,Three Cheers for the Broken Hearted,4:16,142,D - J
Glasvegas - Geraldine,Alternative,2008,Glasvegas,Geraldine,Glasvegas,3:42,120,D - J
Glenn Case - Sweet Canadian Mullet,Rock,2008,Glenn Case,Sweet Canadian Mullet,"So, Be Yourself",3:30,124,D - J
Glitzy Glow - Black and Sunny Day,Rock,2007,Glitzy Glow,Black and Sunny Day,Welcome To This Glow,3:52,147,D - J
Gnostic - Visceral,Metal,2009,Gnostic,Visceral,Engineering the Rule,3:46,99,D - J
Go Radio - Any Other Heart,Pop Rock,2011,Go Radio,Any Other Heart,Lucky Street,3:54,159,D - J
Go-Go's - Our Lips Are Sealed,Pop/Dance/Electronic,1981,Go-Go's,Our Lips Are Sealed,Beauty and the Beat,2:51,129,D - J
God Forbid - Don't Tell Me What to Dream,Metal,2012,God Forbid,Don't Tell Me What to Dream,Equilibrium,3:12,161,D - J
God Forbid - Empire of the Gun,Metal,2009,God Forbid,Empire of the Gun,Earthsblood,4:47,93,D - J
God in a Machine - You Don't Know Me,Metal,2010,God in a Machine,You Don't Know Me,Changes,2:44,107,D - J
Goddamn Draculas - Bethany,Rock,2015,Goddamn Draculas,Bethany,Bethany,4:12,140,D - J
Godhead - Trapped In Your Lies,Rock,2006,Godhead,Trapped In Your Lies,The Shadow Line,3:34,92,D - J
Godsmack - I Stand Alone,Metal,2003,Godsmack,I Stand Alone,Faceless,4:04,82,D - J
Goin' Places - Be With Me,Punk,2012,Goin' Places,Be With Me,Relationship Sneakers,3:36,149,D - J
Goin' Places - Nobody Gives a Shit About Us,Punk,2012,Goin' Places,Nobody Gives a Shit About Us,Relationship Sneakers,2:52,179,D - J
Goin' Places - Relationship Sneakers,Punk,2012,Goin' Places,Relationship Sneakers,Relationship Sneakers,2:56,169,D - J
Golden Earring - Radar Love,Classic Rock,1973,Golden Earring,Radar Love,Moontan,6:29,99,D - J
Goldfinger - Superman,Reggae/Ska,1997,Goldfinger,Superman,Hang-Ups,3:10,97,D - J
Goliath Down - Crazy Idea,Religious,2011,Goliath Down,Crazy Idea,Goliath Down,4:12,125,D - J
Gomez - How We Operate,Rock,2006,Gomez,How We Operate,How We Operate,5:32,137,D - J
Goo Goo Dolls - Iris,Alternative,1998,Goo Goo Dolls,Iris,Dizzy Up The Girl,4:58,76,D - J
Goo Goo Dolls - Name,Alternative,1995,Goo Goo Dolls,Name,A Boy Named Goo,4:36,147,D - J
Goo Goo Dolls - Slide,Alternative,1998,Goo Goo Dolls,Slide,Dizzy Up the Girl,3:37,113,D - J
Good Charlotte - Girls & Boys,Pop Rock,2002,Good Charlotte,Girls & Boys,The Young and the Hopeless,3:09,135,D - J
Good Charlotte - Lifestyles Of The Rich & Famous,Punk,2002,Good Charlotte,Lifestyles Of The Rich & Famous,The Young and the Hopeless,3:19,106,D - J
Good Charlotte - The Anthem,Pop Rock,2002,Good Charlotte,The Anthem,The Young and the Hopeless,3:00,177,D - J
Gorillaz - Clint Eastwood,Pop/Dance/Electronic,2001,Gorillaz,Clint Eastwood,Gorillaz,6:06,84,D - J
Gorillaz - Feel Good Inc,Pop/Dance/Electronic,2005,Gorillaz,Feel Good Inc.,Demon Days,3:42,138,D - J
Gorillaz - Re-Hash,Pop/Dance/Electronic,2001,Gorillaz,Re-Hash,Gorillaz,3:48,100,D - J
Gov't Mule - Broke Down on the Brazos,Rock,2009,Gov't Mule,Broke Down on the Brazos,By a Thread,6:20,97,D - J
Gov't Mule - Steppin' Lightly,Rock,2009,Gov't Mule,Steppin' Lightly,By a Thread,8:08,83,D - J
Gov't Mule - Streamline Woman,Rock,2006,Gov't Mule,Streamline Woman,High & Mighty,4:10,122,D - J
Grammatrain - The Last Sound,Rock,2010,Grammatrain,The Last Sound,,3:59,173,D - J
Grand Funk Railroad - The Loco-Motion,Classic Rock,1974,Grand Funk Railroad,The Loco-Motion,Shinin' On,2:58,124,D - J
Grand Funk Railroad - We're An American Band,R&B/Soul/Funk,1973,Grand Funk Railroad,We're An American Band,We're An American Band,3:31,127,D - J
Grand Warp Focus - The Journey,Progressive Rock,2013,Grand Warp Focus,The Journey,Grand Warp Focus,10:00,149,D - J
Grateful Dead - Casey Jones,Classic Rock,1970,The Grateful Dead,Casey Jones,Workingman's Dead,4:30,100,D - J
Grateful Dead - China Cat Sunflower,Classic Rock,1969,The Grateful Dead,China Cat Sunflower,Aoxomoxoa,3:52,95,D - J
Grateful Dead - Franklin's Tower,Classic Rock,1975,The Grateful Dead,Franklin's Tower,Blues for Allah,4:50,99,D - J
Grateful Dead - I Need a Miracle,Classic Rock,1978,The Grateful Dead,I Need A Miracle,Shakedown Street,4:12,122,D - J
Grateful Dead - Sugar Magnolia,Classic Rock,1970,The Grateful Dead,Sugar Magnolia,American Beauty,3:34,77,D - J
Grateful Dead - Truckin',Classic Rock,1970,The Grateful Dead,Truckin',American Beauty,5:07,127,D - J
Graveyard BBQ - BBQ Nation,Metal,2007,Graveyard BBQ,BBQ Nation,Greatest Hits Volume II,2:39,81,D - J
Graveyard BBQ - By the Grace of the Grill,Metal,2007,Graveyard BBQ,By the Grace of the Grill,Greatest Hits Volume II,5:47,127,D - J
Graveyard BBQ - Cheat on the Church,Metal,2005,Graveyard BBQ,Cheat on the Church,Greatest Hits Volume I,4:12,142,D - J
Graveyard BBQ - Creamskull Boogie,Metal,2007,Graveyard BBQ,Creamskull Boogie,Greatest Hits Volume II,2:28,177,D - J
Graveyard BBQ - Ride the Stache,Metal,2007,Graveyard BBQ,Ride the Stache,Greatest Hits Volume II,4:59,134,D - J
Graveyard BBQ - The Clothes That Makes the Man,Metal,2007,Graveyard BBQ,The Clothes That Makes the Man,Greatest Hits Volume II,3:46,100,D - J
Great White - Once Bitten Twice Shy,Rock,1989,Great White,Once Bitten Twice Shy,...Twice Shy,5:30,131,D - J
Green Day - 21 Guns,Punk,2009,Green Day,21 Guns,21st Century Breakdown,5:28,79,D - J
Green Day - 21st Century Breakdown,Punk,2009,Green Day,21st Century Breakdown,21st Century Breakdown,5:21,161,D - J
Green Day - American Eulogy,Punk,2009,Green Day,American Eulogy,21st Century Breakdown,4:03,179,D - J
Green Day - American Idiot,Punk,2004,Green Day,American Idiot,American Idiot,3:01,185,D - J
Green Day - Are We the Waiting St. Jimmy,Punk,2004,Green Day,Are We the Waiting/St. Jimmy,American Idiot,5:43,112,D - J
Green Day - Basket Case,Punk,1994,Green Day,Basket Case,Dookie,3:04,175,D - J
Green Day - Before the Lobotomy,Punk,2009,Green Day,Before the Lobotomy,21st Century Breakdown,4:43,135,D - J
Green Day - Boulevard of Broken Dreams,Punk,2004,Green Day,Boulevard of Broken Dreams,American Idiot,4:28,83,D - J
Green Day - Brain Stew Jaded,Punk,1995,Green Day,Brain Stew/Jaded,Insomniac,4:48,76,D - J
Green Day - Burnout,Punk,1994,Green Day,Burnout,Dookie,2:12,89,D - J
Green Day - Christian's Inferno,Punk,2009,Green Day,Christian's Inferno,21st Century Breakdown,3:14,179,D - J
Green Day - Chump,Punk,1994,Green Day,Chump,Dookie,3:03,84,D - J
Green Day - Coming Clean,Punk,1994,Green Day,Coming Clean,Dookie,1:42,171,D - J
Green Day - East Jesus Nowhere,Punk,2009,Green Day,East Jesus Nowhere,21st Century Breakdown,4:30,144,D - J
Green Day - Emenius Sleepus,Punk,1994,Green Day,Emenius Sleepus,Dookie,1:50,177,D - J
Green Day - Extraordinary Girl,Punk,2004,Green Day,Extraordinary Girl,American Idiot,3:42,138,D - J
Green Day - F.O.D,Punk,1994,Green Day,F.O.D.,Dookie,2:53,82,D - J
Green Day - Geek Stink Breath,Punk,1995,Green Day,Geek Stink Breath,Insomniac,2:18,131,D - J
"Green Day - Give Me Novacaine, She's a Rebel",Punk,2004,Green Day,Give Me Novacaine/She's a Rebel,American Idiot,5:32,77,D - J
Green Day - Having a Blast,Punk,1994,Green Day,Having a Blast,Dookie,2:50,181,D - J
Green Day - Hitchin' a Ride,Punk,1997,Green Day,Hitchin' a Ride,Nimrod,2:49,163,D - J
Green Day - Holiday,Punk,2004,Green Day,Holiday,American Idiot,4:01,146,D - J
Green Day - Homecoming,Punk,2004,Green Day,Homecoming,American Idiot,9:20,153,D - J
Green Day - Horseshoes and Handgrenades,Punk,2009,Green Day,Horseshoes and Handgrenades,21st Century Breakdown,3:14,142,D - J
Green Day - In the End,Punk,1994,Green Day,In the End,Dookie,1:49,140,D - J
Green Day - Jesus of Suburbia,Punk,2004,Green Day,Jesus of Suburbia,American Idiot,9:10,176,D - J
Green Day - Know Your Enemy,Punk,2009,Green Day,Know Your Enemy,21st Century Breakdown,3:16,130,D - J
Green Day - Last Night on Earth,Punk,2009,Green Day,Last Night on Earth,21st Century Breakdown,4:02,120,D - J
Green Day - Last of the American Girls,Punk,2009,Green Day,Last of the American Girls,21st Century Breakdown,3:57,122,D - J
Green Day - Letterbomb,Punk,2004,Green Day,Letterbomb,American Idiot,4:07,179,D - J
Green Day - Longview,Punk,1994,Green Day,Longview,Dookie,4:00,142,D - J
Green Day - Minority,Punk,2000,Green Day,Minority,Warning,2:54,137,D - J
Green Day - Murder City,Punk,2009,Green Day,Murder City,21st Century Breakdown,3:14,181,D - J
Green Day - Nice Guys Finish Last,Punk,1997,Green Day,Nice Guys Finish Last,Nimrod,2:53,187,D - J
Green Day - Oh Love,Punk,2012,Green Day,Oh Love,Uno!,5:09,86,D - J
Green Day - Peacemaker,Punk,2009,Green Day,Peacemaker,21st Century Breakdown,3:24,99,D - J
Green Day - Pulling Teeth,Punk,1994,Green Day,Pulling Teeth,Dookie,2:32,127,D - J
Green Day - Restless Heart Syndrome,Punk,2009,Green Day,Restless Heart Syndrome,21st Century Breakdown,4:18,82,D - J
Green Day - Sassafrass Roots,Punk,1994,Green Day,Sassafrass Roots,Dookie,2:43,90,D - J
Green Day - See the Light,Punk,2009,Green Day,See the Light,21st Century Breakdown,4:06,141,D - J
Green Day - She,Punk,1994,Green Day,She,Dookie,2:20,181,D - J
Green Day - Still Breathing,Punk,2016,Green Day,Still Breathing,Revolution Radio,3:48,149,D - J
Green Day - The Static Age,Punk,2009,Green Day,The Static Age,21st Century Breakdown,4:28,155,D - J
Green Day - Viva la Gloria (Little Girl),Punk,2009,Green Day,Â¿Viva la Gloria? (Little Girl),21st Century Breakdown,3:52,96,D - J
Green Day - Wake Me Up When September Ends,Punk,2004,Green Day,Wake Me Up When September Ends,American Idiot,4:48,105,D - J
Green Day - Warning,Punk,2000,Green Day,Warning,Warning,3:48,121,D - J
Green Day - Welcome to Paradise,Punk,1994,Green Day,Welcome to Paradise,Dookie,3:54,89,D - J
Green Day - Whatsername,Punk,2004,Green Day,Whatsername,American Idiot,4:10,120,D - J
Green Day - When I Come Around,Punk,1994,Green Day,When I Come Around,Dookie,3:04,95,D - J
Green Day - ¡Viva la Gloria!,Punk,2009,Green Day,¡Viva la Gloria!,21st Century Breakdown,3:32,179,D - J
Greta Van Fleet - When The Curtain Falls,Rock,2018,Greta Van Fleet,When The Curtain Falls,,3:47,96,D - J
Grieve for Tomorrow - Beauty is Deceiving,Alternative,2010,Grieve for Tomorrow,Beauty is Deceiving,,3:40,99,D - J
Grouplove - Tongue Tied,Indie Rock,2011,Grouplove,Tongue Tied,Never Trust a Happy Song,3:43,113,D - J
Grynd Rodd Muse - Blood & Scars,Rock,2010,Grynd Rodd Muse,Blood & Scars,Bloodline,2:56,81,D - J
Guns N' Roses - Better,Rock,2008,Guns N' Roses,Better,Chinese Democracy,5:04,98,D - J
Guns N' Roses - Catcher in the Rye,Rock,2008,Guns N' Roses,Catcher in the Rye,Chinese Democracy,5:53,85,D - J
Guns N' Roses - Chinese Democracy,Rock,2008,Guns N' Roses,Chinese Democracy,Chinese Democracy,4:44,134,D - J
Guns N' Roses - I.R.S,Rock,2008,Guns N' Roses,I.R.S.,Chinese Democracy,4:32,90,D - J
Guns N' Roses - If The World,Rock,2008,Guns N' Roses,If the World,Chinese Democracy,4:58,146,D - J
Guns N' Roses - Madagascar,Rock,2008,Guns N' Roses,Madagascar,Chinese Democracy,5:40,81,D - J
Guns N' Roses - Prostitute,Rock,2008,Guns N' Roses,Prostitute,Chinese Democracy,6:18,107,D - J
Guns N' Roses - Riad N' The Bedouins,Rock,2008,Guns N' Roses,Riad N' the Bedouins,Chinese Democracy,3:44,130,D - J
Guns N' Roses - Scraped,Rock,2008,Guns N' Roses,Scraped,Chinese Democracy,3:35,118,D - J
Guns N' Roses - Shackler's Revenge,Rock,2008,Guns N' Roses,Shackler's Revenge,Chinese Democracy,3:40,132,D - J
Guns N' Roses - Sorry,Rock,2008,Guns N' Roses,Sorry,Chinese Democracy,6:18,147,D - J
Guns N' Roses - Street of Dreams,Rock,2008,Guns N' Roses,Street of Dreams,Chinese Democracy,4:49,85,D - J
Guns N' Roses - There Was A Time,Rock,2008,Guns N' Roses,There Was a Time,Chinese Democracy,6:42,90,D - J
Guns N' Roses - This I Love,Rock,2008,Guns N' Roses,This I Love,Chinese Democracy,5:27,94,D - J
GWAR - Gor-Gor,Metal,1992,GWAR,Gor-Gor,America Must Be Destroyed,4:18,80,D - J
GWAR - Let Us Slay,Metal,2009,GWAR,Let Us Slay,Lust In Space,3:29,85,D - J
Gym Class Heroes (ft. Adam Levine) - Stereo Hearts,Hip-Hop/Rap,2011,Gym Class Heroes (ft. Adam Levine),Stereo Hearts,The Papercut Chronicles II,3:38,90,D - J
H is Orange - Nothing all The Time,Rock,2009,H Is Orange,Nothing all The Time,Thrill of Escape,3:00,175,D - J
H-Blockx - Countdown To Insanity,Rock,2007,H-BlockX,Countdown To Insanity,Open Letter to a Friend,3:55,103,D - J
H.E.R - 21,R&B/Soul/Funk,2019,H.E.R.,21,21,3:21,78,D - J
H.I.M. - Killing Loneliness,Alternative,2005,H.I.M.,Killing Loneliness,Dark Light,4:34,134,D - J
Halcyon Way - Building the Towers,Metal,2010,Halcyon Way,Building the Towers,Building the Towers,6:33,122,D - J
Halcyon Way - Death of a Dream,Metal,2010,Halcyon Way,Death of a Dream,Building the Towers,6:07,126,D - J
Halcyon Way - Desecration Day,Metal,2011,Halcyon Way,Desecration Day,Building the Towers,5:12,124,D - J
Halcyon Way - Icon of Resolution,Metal,2010,Halcyon Way,Icon of Resolution,Building the Towers,6:02,120,D - J
Halcyon Way - IndoctriNation,Metal,2011,Halcyon Way,IndoctriNation,IndoctriNation,6:24,126,D - J
Halcyon Way - Inside Looking Out (The Icon & the Ghost),Metal,2010,Halcyon Way,Inside Looking Out (The Icon & the Ghost),Building the Towers,8:28,134,D - J
Halcyon Way - Inversion,Metal,2011,Halcyon Way,Inversion,Building the Towers,5:53,126,D - J
Halcyon Way - Mouth Without a Head,Metal,2010,Halcyon Way,Mouth Without a Head,Building the Towers,5:45,105,D - J
Halcyon Way - On Black Wings,Metal,2011,Halcyon Way,On Black Wings,IndoctriNation,4:23,124,D - J
Halcyon Way - Our Finest Hour,Metal,2011,Halcyon Way,Our Finest Hour,IndoctriNation,6:08,130,D - J
Halcyon Way - Revolution is Now,Metal,2011,Halcyon Way,Revolution is Now,Indoctrination,5:44,106,D - J
Halcyon Way - Rise to Revise,Metal,2011,Halcyon Way,Rise to Revise,Building the Towers,5:44,159,D - J
Halcyon Way - The Age of Betrayal,Metal,2010,Halcyon Way,The Age of Betrayal,Building the Towers,5:40,134,D - J
Halcyon Way - The System,Metal,2011,Halcyon Way,The System,Building the Towers,5:21,110,D - J
Halestorm - I Miss The Misery,Rock,2012,Halestorm,I Miss The Misery,The Strange Case Of...,3:08,82,D - J
Halestorm - Uncomfortable,Rock,2018,Halestorm,Uncomfortable,Vicious,3:48,117,D - J
Halfbrick Studios - Pirats 'Til We Die,Metal,2011,Halfbrick Studios,Pirats 'Til We Die,Raskulls: Big Bone Boogaloo,2:55,179,D - J
Hall & Oates - I Can't Go for That (No Can Do),Pop Rock,1981,Hall & Oates,I Can't Go for That (No Can Do),Private Eyes,5:02,110,D - J
Hall & Oates - Maneater,Pop Rock,1982,Hall & Oates,Maneater,H2O,4:41,88,D - J
Hall & Oates - Private Eyes,Pop Rock,1981,Hall & Oates,Private Eyes,Private Eyes,3:29,120,D - J
Hall & Oates - Rich Girl,Pop Rock,1976,Hall & Oates,Rich Girl,Bigger Than Both of Us,2:24,84,D - J
Hall & Oates - You Make My Dreams,Pop Rock,1980,Hall & Oates,You Make My Dreams,Voices,2:47,83,D - J
Harbour Grace - Wish I Was Dead,Rock,2010,Harbour Grace,Wish I Was Dead,Call of the Nameless,5:16,93,D - J
Harry Chapin - Cat's in the Cradle,Classic Rock,1974,Harry Chapin,Cat's in the Cradle,Verities & Balderdash,3:54,79,D - J
Harry Styles - Adore You,Pop/Dance/Electronic,2019,Harry Styles,Adore You,Fine Line,3:32,99,D - J
Harry Styles - Golden,Pop Rock,2019,Harry Styles,Golden,Fine Line,3:33,140,D - J
Harvey Danger - Cream and Bastards Rise,Alternative,2005,Harvey Danger,Cream and Bastards Rise,Little By Little...,3:22,139,D - J
Harvey Danger - Flagpole Sitta,Alternative,1997,Harvey Danger,Flagpole Sitta,Where Have All the Merrymakers Gone?,3:41,145,D - J
Haste The Day - Dog Like Vultures,Metal,2009,Haste The Day,Dog Like Vultures,Attack of the Wolf King,4:06,139,D - J
Haunted By Heroes - Rock Me Roxy,Rock,2010,Haunted By Heroes,Rock Me Roxy,Ten At Ten,3:49,118,D - J
Hautewerk - Alone in My Head,Indie Rock,2006,Hautewerk,Alone in My Head,Stop Start Again,4:02,100,D - J
Hautewerk - I Know Where You Came From,Indie Rock,2006,Hautewerk,I Know Where You Came From,Stop Start Again,3:13,83,D - J
Hautewerk - Stop Start Again,Indie Rock,2006,Hautewerk,Stop Start Again,Stop Start Again,4:17,135,D - J
Hawk Nelson - Live Life Loud,Religious,2009,Hawk Nelson,Live Life Loud,Live Life Loud,3:01,165,D - J
Hawkwind - Master of the Universe,Rock,1971,Hawkwind,Master of the Universe,In Search of Space,6:24,151,D - J
Hawthorne Heights - Rescue Me,Alternative,2008,Hawthorne Heights,Rescue Me,Fragile Future,3:11,159,D - J
Hayley Williams - Simmer,Alternative,2020,Hayley Williams,Simmer,Petals for Armor,4:31,110,D - J
Heart - Alone,Classic Rock,1987,Heart,Alone,Bad Animals,3:44,87,D - J
Heart - Barracuda,Classic Rock,1977,Heart,Barracuda,Little Queen,4:26,137,D - J
Heart - Crazy On You,Classic Rock,1976,Heart,Crazy On You,Dreamboat Annie,4:56,131,D - J
Heart - Kick It Out,Classic Rock,1977,Heart,Kick It Out,Little Queen,2:45,151,D - J
Heart - Magic Man,Classic Rock,1976,Heart,Magic Man,Dreamboat Annie,5:32,102,D - J
Heart - What About Love,Classic Rock,1985,Heart,What About Love?,Heart,3:38,80,D - J
Heart Pharmacy - California,Alternative,2011,Heart Pharmacy,California,Drive,4:32,85,D - J
Heaven Ablaze - Parhelia,Metal,2009,Heaven Ablaze,Parhelia,,5:36,193,D - J
Heaven Shall Burn - Endzeit,Metal,2008,Heaven Shall Burn,Endzeit,Iconoclast,4:21,88,D - J
Heaven Shall Burn - The Omen,Metal,2010,Heaven Shall Burn,The Omen,Invictus,3:43,100,D - J
Hedras Ramos - Insanity of the Atoms,Metal,2011,Hedras Ramos,Insanity of the Atoms,Atoms & Space,4:23,110,D - J
Hedras Ramos - Stellar Crash,Metal,2011,Hedras Ramos,Stellar Crash,Atoms & Space,4:33,187,D - J
Hella Donna - Good Things,Pop Rock,2009,Hella Donna,Good Things,Different Faces,3:07,149,D - J
Hellfire Society - Angel,Metal,2009,Hellfire Society,Angel,The Angry Army,3:24,177,D - J
Hellfire Society - Run Rabbit Run,Metal,2009,Hellfire Society,Run Rabbit Run,The Angry Army,2:32,195,D - J
Hellfire Society - Seed of Discord,Metal,2009,Hellfire Society,Seed of Discord,The Angry Army,3:31,144,D - J
Helmet - Unsung,Rock,1992,Helmet,Unsung,Meantime,3:49,83,D - J
Heywood Banks - Toast (Live),Novelty,1998,Heywood Banks,Toast (Live),Picky Picky Picky,2:28,135,D - J
High Voltage - Supernova,Rock,2011,High Voltage,Supernova,"Mind, Body & Soul",6:49,91,D - J
Highlord - Simple Man,Metal,2009,Highlord,Simple Man,The Death of the Artists,4:56,163,D - J
Hilary Duff - So Yesterday,Pop/Dance/Electronic,2003,Hilary Duff,So Yesterday,Metamorphosis,3:36,78,D - J
Hilit Rosental and Corbomite Games - The Pizza Morgana Song,Other,2009,Hilit Rosental and Corbomite Games,The Pizza Morgana Song,Pizza Morgana Episode 1 Soundtrack,1:31,155,D - J
Hillcrest - Lady Luck,Punk,2011,Hillcrest,Lady Luck,Minefields of Society,3:22,125,D - J
HIM - Heartkiller,Alternative,2010,HIM,Heartkiller,Screamworks: Love in Theory and Practice,3:30,153,D - J
HIM - Ode to Solitude,Alternative,2010,HIM,Ode to Solitude,Screamworks: Love in Theory and Practice,4:01,175,D - J
HIM - Wings of a Butterfly,Alternative,2005,HIM,Wings of a Butterfly,Dark Light,3:34,128,D - J
Hinder - Lips Of An Angel,Pop Rock,2005,Hinder,Lips of an Angel,Extreme Behavior,4:26,129,D - J
Hinder - Use Me,Rock,2008,Hinder,Use Me,Take It to the Limit,3:50,134,D - J
Hip Kitty - Other Personality,Rock,2008,Hip Kitty,Other Personality,The Art of War,3:43,128,D - J
Hip Kitty - Stuck in a Rut,Rock,2008,Hip Kitty,Stuck in a Rut,The Art of War,4:13,144,D - J
His Statue Falls - Give It Up! Give It Up!,Metal,2010,His Statue Falls,Give It Up! Give It Up!,Collisions,3:57,173,D - J
His Statue Falls - Jasmin W. Knows How to Mosh,Metal,2010,His Statue Falls,Jasmin W. Knows How to Mosh,Collisions,3:54,163,D - J
Hitman Blues Band - Two Minute Warning,Blues,2003,Hitman Blues Band,Two Minute Warning,Angel in the Shadows,6:14,105,D - J
Hole - Celebrity Skin,Pop Rock,1998,Hole,Celebrity Skin,Celebrity Skin,2:56,134,D - J
Hollywood Undead - Young,Metal,2008,Hollywood Undead,Young,Swan Songs,3:24,100,D - J
Holy Grail - Fight to Kill,Metal,2009,Holy Grail,Fight to Kill,Improper Burial,3:34,97,D - J
Honest Bob and the Factory-to-Dealer Incentives - Entangled,Indie Rock,2008,Honest Bob and the Factory-to-Dealer Incentives,Entangled,Third Time's the Charm,4:26,127,D - J
Honest Bob and the Factory-to-Dealer Incentives - Hey,Indie Rock,2004,Honest Bob and the Factory-to-Dealer Incentives,Hey,Second & Eighteen,2:54,128,D - J
Honest Bob and the Factory-to-Dealer Incentives - I Don't Want to Hear About Your Crappy Boyfriend,Indie Rock,2004,Honest Bob and the Factory-to-Dealer Incentives,I Don't Want to Hear About Your Crappy Boyfriend,Second & Eighteen,2:07,96,D - J
Honest Bob and the Factory-to-Dealer Incentives - I Get By,Indie Rock,2004,Honest Bob and the Factory-to-Dealer Incentives,I Get By,Second & Eighteen,4:22,75,D - J
Honest Bob and the Factory-to-Dealer Incentives - Soy Bomb,Indie Rock,2008,Honest Bob and the Factory-to-Dealer Incentives,Soy Bomb,Third Time's the Charm,2:39,89,D - J
Hoobastank - Crawling in the Dark,Alternative,2001,Hoobastank,Crawling in the Dark,Hoobastank,3:03,93,D - J
Hoobastank - The Reason,Alternative,2004,Hoobastank,The Reason,The Reason,3:57,83,D - J
Hootie & The Blowfish - Hold My Hand,Alternative,1994,Hootie & The Blowfish,Hold My Hand,Cracked Rear View,4:20,86,D - J
Hootie & The Blowfish - Let Her Cry,Alternative,1994,Hootie & The Blowfish,Let Her Cry,Cracked Rear View,5:13,143,D - J
Hootie & The Blowfish - Only Wanna Be With You,Alternative,1994,Hootie & The Blowfish,Only Wanna Be With You,Cracked Rear View,3:49,104,D - J
Hopes Die Last - Never Trust the Hazel Eyed,Metal,2012,Hopes Die Last,Never Trust the Hazel Eyed,Trust No One,4:07,132,D - J
Hopes Die Last - Unleash Hell,Metal,2012,Hopes Die Last,Unleash Hell,Trust No One,3:58,97,D - J
Horporate - Shorty On The Floor,R&B/Soul/Funk,2010,Horporate,Shorty On The Floor,,2:37,75,D - J
Hot Chelle Rae - Tonight Tonight,Pop/Dance/Electronic,2011,Hot Chelle Rae,Tonight Tonight,Whatever,3:28,100,D - J
Hot Hot Heat - Bandages,Alternative,2002,Hot Hot Heat,Bandages,Make Up the Breakdown,3:37,151,D - J
HourCast - Attraction,Rock,2010,HourCast,Attraction,Dystopia,3:31,139,D - J
HourCast - Big Deal,Rock,2010,HourCast,Big Deal,Dystopia,3:00,135,D - J
HourCast - Clockwork,Rock,2010,HourCast,Clockwork,Dystopia,3:57,157,D - J
HourCast - Freakshow,Rock,2010,HourCast,Freakshow,Dystopia,2:53,144,D - J
HourCast - Hell or Hollywood,Rock,2010,HourCast,Hell or Hollywood,Dystopia,3:14,110,D - J
Housse de Racket - Oh Yeah!,Pop/Dance/Electronic,2010,Housse De Racket,Oh Yeah!,Single,3:33,110,D - J
Hozier - Take Me To Church,Indie Rock,2014,Hozier,Take Me To Church,Hozier,4:03,129,D - J
